2025-12-06 20:35:29 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:35:29 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2067
2025-12-06 20:35:31 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2067
2025-12-06 20:35:32 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2067
2025-12-06 20:35:34 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2067
2025-12-06 20:35:34 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:35:35 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2065
2025-12-06 20:35:37 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2065
2025-12-06 20:35:38 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2065
2025-12-06 20:35:39 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:35:40 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2065
2025-12-06 20:35:41 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2065
2025-12-06 20:35:43 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2065
2025-12-06 20:35:44 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:35:44 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2063
2025-12-06 20:35:46 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2063
2025-12-06 20:35:47 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2063
2025-12-06 20:35:49 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2063
2025-12-06 20:35:49 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:35:50 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2061
2025-12-06 20:35:52 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2061
